Country,EdLevel,YearsCodePro,Salary
Austria,Post grad,6.0,30074.0
Turkey,Master’s degree,6.0,91295.0
United Kingdom of Great Britain and Northern Ireland,Post grad,18.0,161044.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,25.0,121018.0
United States of America,Less than a Bachelor’s degree,30.0,195000.0
France,Post grad,50.0,57999.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,27.0,184712.0
Germany,Master’s degree,1.0,29000.0
Germany,Master’s degree,30.0,85925.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,124840.0
United States of America,Bachelor’s degree,11.0,230000.0
United States of America,Bachelor’s degree,23.0,85000.0
United States of America,Less than a Bachelor’s degree,18.0,160000.0
United States of America,Bachelor’s degree,23.0,110000.0
United States of America,Master’s degree,18.0,190000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,161783.0
Russian Federation,Less than a Bachelor’s degree,1.0,12773.0
Germany,Master’s degree,10.0,69814.0
United States of America,Less than a Bachelor’s degree,10.0,115000.0
Czech Republic,Master’s degree,11.0,52122.0
France,Master’s degree,8.0,54777.0
Brazil,Less than a Bachelor’s degree,12.0,37297.0
Germany,Master’s degree,11.0,85925.0
United States of America,Bachelor’s degree,26.0,140000.0
United States of America,Master’s degree,40.0,200000.0
United States of America,Less than a Bachelor’s degree,4.0,93000.0
Russian Federation,Master’s degree,14.0,67227.0
Germany,Bachelor’s degree,10.0,144998.0
Canada,Bachelor’s degree,17.0,119943.0
United States of America,Post grad,9.0,100000.0
United States of America,Bachelor’s degree,22.0,102000.0
Turkey,Bachelor’s degree,15.0,123654.0
United States of America,Bachelor’s degree,11.0,170000.0
Italy,Master’s degree,28.0,48333.0
Switzerland,Bachelor’s degree,44.0,167125.0
United States of America,Bachelor’s degree,20.0,175000.0
Germany,Master’s degree,16.0,85925.0
United States of America,Less than a Bachelor’s degree,25.0,130000.0
France,Master’s degree,10.0,90221.0
United States of America,Master’s degree,13.0,150000.0
India,Master’s degree,4.0,13160.0
United States of America,Less than a Bachelor’s degree,9.0,160000.0
United Kingdom of Great Britain and Northern Ireland,Post grad,3.0,49681.0
United States of America,Bachelor’s degree,9.0,100000.0
United States of America,Less than a Bachelor’s degree,15.0,100000.0
United States of America,Master’s degree,22.0,220000.0
United States of America,Bachelor’s degree,13.0,220000.0
United States of America,Bachelor’s degree,22.0,250000.0
Canada,Less than a Bachelor’s degree,12.0,218079.0
United States of America,Bachelor’s degree,35.0,140000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,75159.0
United States of America,Bachelor’s degree,25.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,104458.0
Ukraine,Master’s degree,5.0,65000.0
United States of America,Post grad,15.0,100000.0
Ireland,Master’s degree,7.0,47259.0
United States of America,Bachelor’s degree,31.0,150000.0
Germany,Bachelor’s degree,12.0,96666.0
United States of America,Less than a Bachelor’s degree,10.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,41.0,152865.0
Italy,Less than a Bachelor’s degree,25.0,29000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,67516.0
Italy,Less than a Bachelor’s degree,36.0,64444.0
United States of America,Bachelor’s degree,20.0,185000.0
Spain,Master’s degree,10.0,85925.0
